Timestamp,1. Please select your Gender.,2. What is your age?,3. Please select your education level?,4. What is your marital status?,5. Where do you live in?,6. How long do you sleep?,7. What is your profession?,8. What are the gadgets you are using (multiple response)?,9. What type of talking device do you have?,"10. Before COVID-19, how long were you using Phone per day?","11. During COVID-19 (2020-2022), how long were you using Phone per day?","12. Since 2023, how long have you been using Phone per day?",13. What type of internet connection do you use?,"14a. Before COVID-19, how long did you use the internet per day?","14b. During COVID-19 (2020-2022), how long did you use the internet per day?","14c. Starting from 2023, how long did you use the internet per day?","15a. Before COVID-19, how long did you use Computer (laptop/desktop) per day?","15b. During COVID-19 (2020-2022), how long did you use Computer (laptop/desktop) per day?","15c. Starting from 2023, how long did you use Computer (laptop/desktop) per day?",16. Are you using internet in your computer?,"17. Before COVID-19, how many hours of internet per day you used in computer?","18. During COVID-19 (2020-2022), how many hours of internet per day you used in computer?","19. Starting from 2023, how many hours of internet per day you used in computer?",20. Do you feel like any physical & mental changes due to use of internet? Check all that apply.,21. Do you think that during COVID-19 period online use has increased?,22. Which purpose you are using online?,23. Which type of family do you come from?,24. Are you currently living with family?,25. Do you like to do physical exercise?,26. Are you a smoker?,"27.  ""I like most parts of my personality.""","28. ""When I look at the story of my life, I am pleased with how things have turned out so far.""","29. ""Some people wander aimlessly through life, but I am not one of them.""","30. ""The demands of everyday life often get me down.""","31. ""In many ways I feel disappointed about my achievements in life.""","32. ""Maintaining close relationships has been difficult and frustrating for me.""","33. ""I live life one day at a time and don't really think about the future.""","34. ""In general, I feel I am in charge of the situation in which I live.""","35. ""I am good at managing the responsibilities of daily life.""","36. ""I sometimes feel as if I've done all there is to do in life.""","37. ""For me, life has been a continuous process of learning, changing, and growth.""","38. ""I think it is important to have new experiences that challenge how I think about myself and the world.""","39. ""People would describe me as a giving person, willing to share my time with others.""","40. ""I gave up trying to make big improvements or changes in my life a long time ago""","41. ""I tend to be influenced by people with strong opinions""","42. . ""I have not experienced many warm and trusting relationships with others.""","43. ""I have confidence in my own opinions, even if they are different from the way most other people think.""","44. ""I judge myself by what I think is important, not by the values of what others think is important.""",Comments / Suggestions
3/2/2022 11:30:42,Male,30-45,Graduate University (M.Sc.),Married,Urban area,Less than 6 hours,Job candidate,"Smartphone, PC, Laptop","Cell phone, Smart phone",4-8 Hours,8- 11 hours,,"Broad band, Mobile data",> 10 hours,> 10 hours,,8- 11 hours,8- 11 hours,,No,5-10 hours,5-10 hours,,"Headache, Sleep disorder, Eye side problem",Yes,"Messaging, Video, Social media, News, Official",Joint family,No,Yes,No,,,,,,,,,,,,,,,,,,,
3/2/2022 12:18:23,Female,30-45,Graduate University (M.Sc.),Divorced/separated,Urban area,Less than 6 hours,Education-related position,Smartphone,Smart phone,4-8 Hours,8- 11 hours,,Broad band,5-10 hours,> 10 hours,,0- 4 hours,0- 4 hours,,Yes,1-5 hours,5-10 hours,,"Concentration breaks, Shortness of Temper",Yes,"Educational, Messaging, Social media",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/2/2022 12:57:31,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,0- 4 hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,4-8 Hours,,Yes,1-5 hours,1-5 hours,,"Concentration breaks, Sleep disorder",Yes,"Educational, Messaging, Video, Social media, Shopping",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/2/2022 12:59:00,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,,Student,"Smartphone, Tab, Laptop","Smart phone, Others (Tablet, notebook etc.)",0- 4 hours,4-8 Hours,,Broad band,1-5 hours,5-10 hours,,,,,,,,,"Anxiety, Insomnia, Concentration breaks, Shortness of Temper, Sleep disorder, Discomfort in face to face communication, Hearing loss",Yes,"Educational, Gaming, Social media",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/2/2022 12:59:26,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,Smartphone,Smart phone,0- 4 hours,0- 4 hours,,Mobile data,< 1 hour,1-5 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,< 1 hour,,"Insomnia, Headache, Eye side problem",Yes,"Educational, Messaging, Video, Social media, News",Joint family,No,No,No,,,,,,,,,,,,,,,,,,,
3/2/2022 12:59:30,Female,15-30,Graduate University (M.Sc.),Married,Rural area,Above 6 hours,Housewife,Smartphone,Smart phone,0- 4 hours,0- 4 hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,Yes,< 1 hour,< 1 hour,,"Headache, Sleep disorder, Discomfort in face to face communication, Decreased attention, Eye side problem",Yes,"Educational, Messaging, Video, Social media, Shopping, News",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/2/2022 13:00:23,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, PC","Cell phone, Smart phone",0- 4 hours,8- 11 hours,,"Broad band, Mobile data",1-5 hours,> 10 hours,,0- 4 hours,Above 11 hours,,No,1-5 hours,> 10 hours,,"Anxiety, Depression, Headache, Sleep disorder, Decreased attention",Yes,"Educational, Messaging, Social media, Shopping",Joint family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/2/2022 13:04:41,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,8- 11 hours,4-8 Hours,,Mobile data,5-10 hours,> 10 hours,,4-8 Hours,4-8 Hours,,Yes,5-10 hours,5-10 hours,,"Insomnia, Depression, Concentration breaks, Shortness of Temper, Decreased attention",Yes,"Educational, Messaging, Video, Gaming, Social media, Shopping, News",Nuclear family,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,
3/2/2022 13:05:05,Male,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Less than 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,0- 4 hours,,Broad band,1-5 hours,1-5 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,< 1 hour,,"Anxiety, Insomnia, Depression, Discomfort in face to face communication",Yes,"Educational, Others",Nuclear family,Yes,Yes,No,,,,,,,,,,,,,,,,,,,
3/2/2022 13:06:58,Female,15-30,Undergraduate University (B.Sc.),Unmarried,Urban area,Above 6 hours,Student,"Smartphone, Laptop",Smart phone,0- 4 hours,4-8 Hours,,Broad band,1-5 hours,5-10 hours,,0- 4 hours,0- 4 hours,,No,< 1 hour,1-5 hours,,"Insomnia, Concentration breaks, Headache, Sleep disorder, Decreased attention",Yes,"Educational, Video, Social media",Nuclear family,Yes,No,No,,,,,,,,,,,,,,,,,,,
